ImageName,Dose,ROIShape,ROISize,ROIX_orig,ROIY_orig,MeanR,MeanG,MeanB,StdDevR,StdDevG,StdDevB,NumPixels
RC_0_0Gy.tiff,0.0,rectangle,40,1308.97,802.41,160.69,143.25,98.16,2.25,1.97,2.18,1600
RC_1_0.1Gy.tiff,0.1,rectangle,40,1371.72,744.14,152.86,138.49,96.26,2.20,1.68,2.00,1600
RC_2_0.3Gy.tiff,0.3,rectangle,40,1250.69,784.48,140.96,129.84,93.92,2.12,1.96,2.05,1600
RC_3_0.5Gy.tiff,0.5,rectangle,40,1237.24,775.52,132.04,122.93,92.04,2.31,1.81,2.07,1600
RC_4_0.7Gy.tiff,0.7,rectangle,40,1129.66,762.07,124.68,117.57,91.05,2.19,1.84,2.07,1600
RC_5_1Gy.tiff,1.0,rectangle,40,1210.34,753.10,115.20,109.67,88.17,2.04,1.73,2.09,1600
RC_6_2Gy.tiff,2.0,rectangle,40,1232.76,762.07,94.82,89.24,81.29,2.12,1.82,2.17,1600
RC_7_4Gy.tiff,4.0,rectangle,40,1398.62,775.52,75.21,63.69,70.74,2.19,1.95,2.17,1600
RC_8_6Gy.tiff,6.0,rectangle,40,1250.69,824.83,66.89,50.17,63.29,2.28,2.00,2.25,1600
RC_9_8Gy.tiff,8.0,rectangle,40,1183.45,775.52,61.89,41.03,57.35,2.39,2.06,1.99,1600
RC_10_10Gy.tiff,10.0,rectangle,40,1174.48,788.97,58.95,35.15,52.23,2.29,2.24,2.32,1600
RC_11_12Gy.tiff,12.0,rectangle,40,1246.21,762.07,57.34,32.11,48.53,2.21,2.44,2.49,1600
RC_12_14Gy.tiff,14.0,rectangle,40,1295.52,744.14,56.19,29.37,45.24,2.20,2.65,2.66,1600
RC_13_16Gy.tiff,16.0,rectangle,40,1246.21,775.52,55.02,28.15,43.26,2.25,2.71,2.50,1600
RC_14_18Gy.tiff,18.0,rectangle,40,1183.45,780.00,54.27,26.91,41.64,2.31,2.86,2.47,1600
RC_15_20Gy.tiff,20.0,rectangle,40,1214.83,762.07,53.83,26.29,39.57,2.31,2.84,2.53,1600
