Date,Film,Circle,Original Dose,Original Uncertainty,Original Average,Original Average Uncertainty
2025-05-07,RC_1,C1,"0.73, 0.75, 0.95","±0.00033, ±0.00036, ±0.0011",0.81,±0.00058
2025-05-07,RC_1,C2,"1.60, 1.62, 2.00","±0.00064, ±0.00058, ±0.0011",1.74,±0.00079
2025-05-07,RC_1,C3,"3.22, 3.11, 3.47","±0.0014, ±0.0011, ±0.0017",3.27,±0.0014
2025-05-07,RC_1,C4,"4.50, 4.41, 4.73","±0.0023, ±0.0019, ±0.0023",4.55,±0.0021
2025-05-07,RC_2,C1,"3.47, 3.41, 3.73","±0.0017, ±0.0014, ±0.002",3.54,±0.0017
2025-05-07,RC_2,C2 (CTR),"0.08, 0.06, -0.05","±0.0011, ±0.0011, ±0.0015",0.03,±0.0012
2025-05-07,RC_2,C3,"1.35, 1.39, 1.57","±0.00051, ±0.00049, ±0.0011",1.44,±0.0007
2025-05-07,RC_2,C4,"11.30, 10.73, 11.12","±0.014, ±0.0058, ±0.0058",11.05,±0.0084
2025-05-07,RC_2,C5,"8.63, 8.33, 8.31","±0.0058, ±0.0042, ±0.0041",8.42,±0.0047
2025-05-07,RC_2,C6,"5.69, 5.46, 5.72","±0.0029, ±0.0022, ±0.0025",5.62,±0.0025
2025-05-07,RC_3,C1,"3.48, 3.46, 4.00","±0.0016, ±0.0014, ±0.0018",3.65,±0.0016
2025-05-07,RC_3,C2,"1.20, 1.27, 1.65","±0.00056, ±0.00055, ±0.0011",1.37,±0.00073
2025-05-07,RC_3,C3,"10.30, 10.00, 10.26","±0.0068, ±0.0045, ±0.0046",10.18,±0.0053
2025-05-07,RC_3,C4,"7.09, 7.03, 7.25","±0.0041, ±0.0032, ±0.0033",7.12,±0.0035
2025-05-07,RC_3,C5,"5.08, 5.02, 5.37","±0.0023, ±0.0018, ±0.0022",5.15,±0.0021
